Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
Precious Achiuwa\achiupr01,C,22,TOR,65,1536,12.9,0.499,0.228,0.212,9.2,22.8,15.6,7.1,1.1,2.2,11.1,18.3,,0.5,1.8,2.3,0.072,,-1.9,-0.7,-2.7,-0.3
Steven Adams\adamsst01,C,28,MEM,71,1874,17.9,0.559,0.003,0.512,18.3,21.3,19.8,15.7,1.5,2.7,19.2,12.2,,3.8,2.7,6.4,0.165,,1.2,0.7,1.9,1.9
Bam Adebayo\adebaba01,C,24,MIA,50,1635,21.7,0.602,0.009,0.454,8.7,26,17.5,17.7,2.2,2.7,14.8,25.2,,3,3.2,6.2,0.181,,1.6,2.1,3.7,2.4
Santi Aldama\aldamsa01,PF,21,MEM,29,298,7.8,0.419,0.406,0.198,8.3,15.3,11.7,6.5,0.3,2.7,9.1,16.6,,-0.2,0.3,0.1,0.019,,-5.2,-1.7,-6.9,-0.4
LaMarcus Aldridge\aldrila01,C,36,BRK,45,1027,20.3,0.607,0.099,0.224,7.7,18.9,13.4,6.4,0.7,4,7.8,22.7,,2.2,1,3.2,0.147,,1.8,-0.7,1.1,0.8
Nickeil Alexander-Walker\alexani01,SG,23,TOT,61,1435,10.5,0.475,0.493,0.161,2.8,11.4,7,16.1,1.5,1.5,11.4,24.3,,-1.1,1.1,0,0.001,,-1.8,-1.2,-3,-0.3
Nickeil Alexander-Walker\alexani01,SG,23,NOP,50,1317,10.6,0.474,0.483,0.153,3,10.9,6.8,16.2,1.5,1.4,11.2,24.8,,-1.1,1,-0.1,-0.004,,-1.6,-1.3,-3,-0.3
Nickeil Alexander-Walker\alexani01,SG,23,UTA,11,118,9.2,0.49,0.676,0.297,1,17,9.3,14.9,1.3,2.2,14.3,18,,0,0.1,0.1,0.053,,-3.8,1,-2.8,0
Grayson Allen\allengr01,SG,26,MIL,62,1704,12.8,0.603,0.684,0.122,1.8,10.8,6.4,7.8,1.2,0.9,6.5,15.5,,2.6,1.3,4,0.111,,0.6,-0.2,0.4,1
Jarrett Allen\allenja01,C,23,CLE,56,1809,23.2,0.698,0.018,0.428,12,24.4,18.4,8.2,1.2,3.7,12.7,18.1,,5.5,3.1,8.6,0.229,,2.7,1.2,3.9,2.7
Jose Alvarado\alvarjo01,PG,23,NOP,46,704,16.5,0.52,0.387,0.174,3.4,9.8,6.6,26.8,4.1,1,10.5,18.6,,0.9,1,1.9,0.127,,-0.3,2.5,2.2,0.8
Justin Anderson\anderju01,SF,28,TOT,11,221,11.5,0.537,0.656,0.295,2,16.1,9,15.4,1.1,1.2,10.4,15,,0.2,0.1,0.4,0.08,,-1.1,-1.1,-2.1,0
Justin Anderson\anderju01,SF,28,CLE,3,47,10.7,0.666,0.75,0.5,0,13.8,7,17.3,1.1,0,17,11.1,,0.1,0,0.1,0.128,,-3,0.4,-2.6,0
Justin Anderson\anderju01,SF,28,IND,8,174,11.7,0.516,0.642,0.264,2.5,16.7,9.5,14.9,1.1,1.5,9.2,16.1,,0.1,0.1,0.2,0.067,,-0.6,-1.5,-2,0
Kyle Anderson\anderky01,PF,28,MEM,62,1322,14.4,0.493,0.233,0.223,5,21.5,13.1,15.8,2.5,2.7,11,16.1,,0.9,2.2,3.1,0.113,,-0.9,2,1.1,1
Giannis Antetokounmpo\antetgi01,PF,27,MIL,61,1998,32.3,0.631,0.198,0.621,6.4,30.3,18.7,32.1,1.5,4.2,12.1,35,,8.5,3.5,12,0.289,,7.6,3.6,11.2,6.7
Thanasis Antetokounmpo\antetth01,SF,29,MIL,44,398,11.4,0.539,0.11,0.34,10.6,14.2,12.5,6.5,1.7,2.2,14.8,14.5,,0.3,0.5,0.7,0.09,,-4,0.4,-3.7,-0.2
Carmelo Anthony\anthoca01,PF,37,LAL,64,1688,15.2,0.589,0.557,0.229,3.7,13.4,8.6,5.4,1.3,2.6,7,20.3,,2.3,1.4,3.8,0.107,,0.7,-0.8,-0.1,0.8
Cole Anthony\anthoco01,PG,21,ORL,61,1981,13.9,0.521,0.432,0.279,1.6,16.5,9,29.3,1.1,0.7,14.1,25.2,,0.2,1.6,1.8,0.044,,-0.4,-0.7,-1.1,0.5
OG Anunoby\anunoog01,SF,24,TOR,44,1596,14.7,0.543,0.455,0.169,4.3,12.2,8,10.9,2.1,1.5,9.5,20.9,,1.6,1.7,3.3,0.099,,0.3,0,0.3,0.9
Ryan Arcidiacono\arcidry01,PG,27,NYK,6,17,13.3,1,0.667,0,0,6.4,3.2,0,0,0,0,7.7,,0,0,0.1,0.15,,2.4,0.9,3.3,0
Trevor Ariza\arizatr01,SF,36,LAL,22,415,6.8,0.474,0.805,0.183,1.6,16.7,9.2,7,1.4,0.9,10.1,10.2,,-0.1,0.3,0.3,0.029,,-3.3,0,-3.3,-0.1
D.J. Augustin\augusdj01,PG,34,TOT,46,720,10.7,0.627,0.722,0.209,1.4,7.3,4.3,18.4,0.9,0,19.7,15,,0.7,0,0.7,0.049,,-0.7,-2.6,-3.3,-0.2
D.J. Augustin\augusdj01,PG,34,HOU,34,510,9.8,0.596,0.706,0.279,1.5,7.4,4.4,20.6,0.9,0,22.8,16.5,,0.2,0,0.2,0.017,,-1.3,-3,-4.3,-0.3
D.J. Augustin\augusdj01,PG,34,LAL,12,210,13,0.719,0.765,0.02,1,7.1,4.1,13.1,0.9,0,8.9,11.5,,0.5,0.1,0.6,0.127,,0.9,-1.6,-0.7,0.1
Deni Avdija\avdijde01,SF,21,WAS,73,1726,11.5,0.533,0.44,0.262,2.9,20.7,11.9,10.7,1.5,1.9,11,15.6,,0.6,1.7,2.3,0.064,,-2.2,0.5,-1.8,0.1
Joel Ayayi\ayayijo01,SG,21,WAS,7,20,3.5,0.167,0.167,0,5.6,10.9,8.3,25.6,0,0,0,13.3,,0,0,0,-0.097,,-4.2,-1.8,-6,0
Deandre Ayton\aytonde01,C,23,PHO,53,1560,22.6,0.666,0.027,0.204,9.8,26.3,18.3,7.4,1.2,2.1,10.5,21.3,,4.2,2.8,6.9,0.214,,2.6,0.5,3,2
Udoka Azubuike\azubuud01,C,22,UTA,17,195,17.6,0.743,0,0.224,10.5,28.7,19.9,0,0.3,5,18.2,14.7,,0.3,0.3,0.6,0.157,,-1.8,0.4,-1.4,0
Marvin Bagley III\baglema01,PF,22,TOT,45,1063,15.5,0.538,0.222,0.217,9.9,22.8,16.2,4.9,1,1.3,7.3,19.9,,1,0.8,1.8,0.079,,-0.7,-1.9,-2.6,-0.2
Marvin Bagley III\baglema01,PF,22,SAC,30,656,14.4,0.521,0.252,0.191,10.9,24.9,17.8,3.9,0.7,1.4,7.3,18.8,,0.5,0.4,1,0.07,,-1,-2.5,-3.5,-0.3
Marvin Bagley III\baglema01,PF,22,DET,15,407,17.3,0.561,0.179,0.254,8.3,19.5,13.7,6.6,1.6,1.1,7.2,21.8,,0.4,0.4,0.8,0.095,,-0.1,-1,-1.1,0.1
